Zone,Zone_Name,District_Code,District,Block_Code,Block_Name,PC_No,PC_Name,AC_No,AC_Name,Gram_Panchayat_Code,Gram_Panchayat,Organisational_District
6,Medinipur Division,318,Paschim Medinipur,2978,Daspur-I,29,Arambag,232,Chandrakona,110277,Niznarajol,Ghatal Division
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin,108739,Amrasota,Paschim Bardhaman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin,108742,Jemeri,Paschim Bardhaman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin,108744,Tirat,Paschim Bardhaman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin,108740,Ballavpur,Paschim Bardhaman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin,108741,Egra,Paschim Bardhaman
4,Bardhaman & Birbhum,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,279,Jamuria,108743,Ratibati,Paschim Bardhaman
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur,110542,Gurudaspur,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur,110541,Daulatabad,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur,110538,Bhakuri-I,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur,110544,Hatinagar,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur,110546,Manindranagar,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga,110526,Sujapur-Kumarpur,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga,110515,Bhabta-I,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga,110522,Mahula-I,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga,110519,Debkundu,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga,110525,Mirjapur-Ii,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga,110516,Bhabta-Ii,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga,110552,Rangamati Chandpara,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga,110547,Naodapanur,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga,110539,Bhakuri-Ii,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga,110543,Haridasmati,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga,110551,Rajdharpara,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur,110569,Alugram,Berhampur
3,Nadia & Murshidabad,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur,110570,Amlai,Berhampur
