S. No,District Code,District,Block Code,Block Name,PC No.,PC Name,AC No.,AC Name,Gram Panchayat Code,Gram Panchayat
53,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin ,108744,Tirat
54,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin ,108740,Ballavpur
55,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,280,Asansol Dakshin ,108741,Egra
56,704,Paschim Bardhaman,2825,Raniganj,40,Asansol,279,Jamuria ,108743,Ratibati
57,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur ,110542,Gurudaspur
58,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur ,110541,Daulatabad
59,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur ,110538,Bhakuri-I
60,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur ,110544,Hatinagar
61,319,Murshidabad,3003,Berhampore,10,Baharampur,72,Baharampur ,110546,Manindranagar
62,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga ,110526,Sujapur-Kumarpur
63,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga ,110515,Bhabta-I
64,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga ,110522,Mahula-I
65,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga ,110519,Debkundu
66,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga ,110525,Mirjapur-Ii
67,319,Murshidabad,3001,Beldanga-I,10,Baharampur,71,Beldanga ,110516,Bhabta-Ii
68,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga ,110552,Rangamati Chandpara
69,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga ,110547,Naodapanur
70,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga ,110539,Bhakuri-Ii
71,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga ,110543,Haridasmati
72,319,Murshidabad,3003,Berhampore,10,Baharampur,71,Beldanga ,110551,Rajdharpara
73,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur ,110569,Alugram
74,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur ,110570,Amlai
75,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur ,110576,Talgram
76,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur ,110571,Bharatpur
77,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,69,Bharatpur ,110575,Sijgram
78,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,67,Burwan ,110573,Gundiria
79,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,67,Burwan ,110574,Jajan
80,319,Murshidabad,3006,Bharatpur-I,10,Baharampur,67,Burwan ,110572,Gadda
81,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110592,Panchthupi
82,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110584,Biprasekhar
83,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110593,Sabaldaha
84,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110595,Sahora
85,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110585,Burwan-I
86,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110589,Kharjuna
87,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110596,Sundarpur
88,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110594,Sabalpur
89,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110591,Kurunnorun
90,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110586,Burwan-Ii
91,319,Murshidabad,3008,Burwan,10,Baharampur,67,Burwan ,110590,Kuli
92,319,Murshidabad,3003,Berhampore,10,Baharampur,68,Kandi ,110554,Satui Chaurigachha
93,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda ,110517,Chaitanyapur-I
94,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda ,110518,Chaitanyapur-Ii
95,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda ,110521,Madda
96,319,Murshidabad,3001,Beldanga-I,10,Baharampur,74,Nowda ,110523,Mahula-Ii
97,319,Murshidabad,3001,Beldanga-I,10,Baharampur,70,Rejinagar ,110514,Begunbari
98,319,Murshidabad,3001,Beldanga-I,10,Baharampur,70,Rejinagar ,110524,Mirjapur-I
99,319,Murshidabad,3001,Beldanga-I,10,Baharampur,70,Rejinagar ,110520,Kapasdanga
100,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,39,Balurghat ,109183,Amritakhand
101,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,39,Balurghat ,109187,Chingishpur
102,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,39,Balurghat ,109193,Vatpara
103,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur ,109205,Gangarampur
104,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur ,109204,Damdama
105,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur ,109206,Nandanpur
106,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,41,Gangarampur ,109201,Belbari-I
107,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur ,109238,Autina
108,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur ,109241,Gurail
109,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur ,109246,Rampara Chenchra
110,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur ,109237,Ajmatpur
111,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur ,109245,Ramchandrapur
112,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,41,Gangarampur ,109243,Hazratpur
113,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj ,109200,Basuria
114,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj ,109203,Chaloon
115,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj ,109199,Ashokegram
116,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,38,Kumarganj ,109209,Uday
117,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,37,Kushmandi ,109207,Sukdevpur
118,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,37,Kushmandi ,109208,Jahangirpur
119,310,Dakshin Dinajpur,2872,Gangarampur,6,Balurghat,37,Kushmandi ,109202,Belbari-Ii
120,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109189,Gopalbati
121,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109185,Bolla
122,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109184,Boaldar
123,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109190,Jalghar
124,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109188,Danga
125,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109191,Najirpur
126,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109186,Chakvrigu
127,310,Dakshin Dinajpur,2870,Balurghat,6,Balurghat,40,Tapan ,109192,Patriram
128,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan ,109244,Malancha
129,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan ,109247,Tapanchandipur
130,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan ,109240,Gophanagar
131,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan ,109242,Harsura
132,310,Dakshin Dinajpur,2877,Tapan,6,Balurghat,40,Tapan ,109239,Dwipkhanda
133,305,Bankura,2775,Bankura-Ii,36,Bankura,252,Bankura ,108300,Purandarpur
134,305,Bankura,2775,Bankura-Ii,36,Bankura,252,Bankura ,108296,Junbedia
135,305,Bankura,2775,Bankura-Ii,36,Bankura,252,Bankura ,108298,Mankanali
136,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna ,108345,Hatagram
137,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna ,108346,Indpur
138,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna ,108347,Raghunathpur
139,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna ,108342,Brahmandiha
140,305,Bankura,2780,Indpur,36,Bankura,248,Chhatna ,108341,Bheduasole
141,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora ,108327,Barshal
142,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora ,108332,Lachhmanpur
143,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora ,108326,Banashuria
144,305,Bankura,2778,Gangajal Ghati,36,Bankura,247,Saltora ,108333,Latiaboni
145,305,Bankura,2780,Indpur,36,Bankura,251,Taldangra ,108344,Gourbazar
146,305,Bankura,2780,Indpur,36,Bankura,251,Taldangra ,108343,Brajarajpur
147,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra ,108466,Panchmura
148,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra ,108469,Taldangra
149,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra ,108463,Fulmati
150,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra ,108462,Bibarda
151,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra ,108464,Harmasra
152,305,Bankura,2794,Taldangra,36,Bankura,251,Taldangra ,108465,Khalgram
153,303,North 24 Parganas,2726,Barasat-I,17,Barasat,119,Barasat ,107808,Chhoto Jagulia
154,303,North 24 Parganas,2726,Barasat-I,17,Barasat,120,Deganga ,107812,Kadambagachhi
155,303,North 24 Parganas,2726,Barasat-I,17,Barasat,120,Deganga ,107814,Kotra
156,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107875,Chaurasi
157,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107870,Amulia
158,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107881,Nurnagar
159,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107882,Sohai-Shetpur
160,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107873,Chakla
161,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107871,Berachampa-I
162,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107872,Berachampa-Ii
163,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107880,Kolsur
164,303,North 24 Parganas,2733,Deganga,17,Barasat,120,Deganga ,107878,Hadipur Jhikra-I
165,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra ,107898,Kumra
166,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra ,107901,Prithiba
167,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra ,107902,Rautara
168,303,North 24 Parganas,2735,Habra-I,17,Barasat,100,Habra ,107900,Machhlandapur-Ii
169,303,North 24 Parganas,2726,Barasat-I,17,Barasat,118,Madhyamgram ,107811,Ichhapur-Nilganj
170,303,North 24 Parganas,2726,Barasat-I,17,Barasat,118,Madhyamgram ,107815,Paschim Khilkapur
171,303,North 24 Parganas,2726,Barasat-I,17,Barasat,118,Madhyamgram ,107816,Purba Khilkapur
172,303,North 24 Parganas,2727,Barasat-Ii,17,Barasat,118,Madhyamgram ,107820,Kemia Khamarpara
173,303,North 24 Parganas,2727,Barasat-Ii,17,Barasat,118,Madhyamgram ,107817,Chandigarh-Rohanda
174,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,267,Bhatar ,108519,Kshetia
175,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,267,Bhatar ,108520,Kurmun-I
176,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108515,Baghar-I
177,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108523,Saraitikar
178,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108516,Baghar-Ii
179,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108518,Belkash
180,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108517,Bandul-I
181,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108522,Rayan-Ii
182,306,Purba Bardhaman,2800,Burdwan-I,39,Bardhaman-Durgapur,266,Bardhaman Uttar ,108521,Rayan-I
183,704,Paschim Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,276,Durgapur Purba ,108602,Molandighi
184,704,Paschim Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,276,Durgapur Purba ,108600,Gopalpur
185,306,Purba Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,274,Galsi ,108598,Bankati
186,306,Purba Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,274,Galsi ,108599,Bidbehar
187,306,Purba Bardhaman,2809,Kanksa,39,Bardhaman-Durgapur,274,Galsi ,108603,Trilokchandrapur
188,306,Purba Bardhaman,2804,Galsi-Ii,39,Bardhaman-Durgapur,274,Galsi ,108553,Kurkuba
189,306,Purba Bardhaman,2804,Galsi-Ii,39,Bardhaman-Durgapur,274,Galsi ,108550,Galsi
190,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108664,Kusumgram
191,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108663,Jamna
192,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108660,Baghsan
193,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108669,Pipalan
194,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108666,Mamudpur-I
195,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108671,Shushunia
196,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108665,Majhergram
197,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108672,Vagramulgram
198,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108668,Manteswar
199,306,Purba Bardhaman,2816,Manteswar,39,Bardhaman-Durgapur,263,Manteswar ,108662,Denur
200,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108690,Satgachhia-I
201,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108686,Bijur-Ii
202,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108683,Barapalasan-I
203,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108685,Bijur-I
204,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108684,Barapalasan-Ii
205,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108687,Bohar-I
206,306,Purba Bardhaman,2818,Memari-Ii,39,Bardhaman-Durgapur,263,Manteswar ,108688,Bohar-Ii
207,303,North 24 Parganas,2726,Barasat-I,15,Barrackpur,102,Amdanga ,107813,Kashimpur
208,303,North 24 Parganas,2726,Barasat-I,15,Barrackpur,102,Amdanga ,107810,Dattapukur-Ii
209,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,106,Jagatdal ,107830,Panpur-Keutia
210,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,106,Jagatdal ,107827,Kowgachi-Ii
211,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,106,Jagatdal ,107829,Mamudpur
212,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,104,Naihati ,107831,Shibdaspur
213,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,104,Naihati ,107824,Jethia
214,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,104,Naihati ,107825,Kampa-Chakla
215,303,North 24 Parganas,2728,Barrackpur-I,15,Barrackpur,104,Naihati ,107828,Majhipara-Palasi
216,303,North 24 Parganas,2729,Barrackpur-Ii,15,Barrackpur,107,Noapara ,107835,Mohanpur
217,303,North 24 Parganas,2729,Barrackpur-Ii,15,Barrackpur,107,Noapara ,107837,Sewli
218,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107790,Jadurhati Dakshin
219,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107792,Jagannathpur
220,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107793,Jasikati Atghara
221,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107785,Aturia
222,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107786,Bagjola
223,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107787,Bajitpur
224,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107798,Sayestanagar-Ii
225,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107791,Jadurhati Uttar
226,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107788,Chandipur
227,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107789,Chhatra
228,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107795,Raghunathpur
229,303,North 24 Parganas,2724,Baduria,18,Basirhat,99,Baduria ,107794,Nayabastia Milani
230,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107846,Champapukur
231,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107850,Kachua
232,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107845,Begumpur Bibipur
233,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107849,Ghorarash Kulingram
234,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107847,Chita
235,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107853,Shrinagar Metia
236,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107852,Rajendrapur
237,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107851,Kholapota
238,303,North 24 Parganas,2731,Basirhat-Ii,18,Basirhat,125,Basirhat Uttar ,107848,Dhanyakuria
239,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,125,Basirhat Uttar ,107919,Amlani
240,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,125,Basirhat Uttar ,107926,Murarisha
241,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,125,Basirhat Uttar ,107925,Makhalgachha
242,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,125,Basirhat Uttar ,107923,Bhebia
243,303,North 24 Parganas,2727,Barasat-Ii,18,Basirhat,121,Haroa ,107819,Falti Beliaghata
244,303,North 24 Parganas,2727,Barasat-Ii,18,Basirhat,121,Haroa ,107822,Kirtipur-I
245,303,North 24 Parganas,2727,Barasat-Ii,18,Basirhat,121,Haroa ,107818,Dadpur
246,303,North 24 Parganas,2727,Barasat-Ii,18,Basirhat,121,Haroa ,107821,Kiritipur-Ii
247,303,North 24 Parganas,2727,Barasat-Ii,18,Basirhat,121,Haroa ,107823,Shasan
248,303,North 24 Parganas,2733,Deganga,18,Basirhat,121,Haroa ,107879,Hadipur Jhikra-Ii
249,303,North 24 Parganas,2733,Deganga,18,Basirhat,121,Haroa ,107876,Deganga-I
250,303,North 24 Parganas,2733,Deganga,18,Basirhat,121,Haroa ,107877,Deganga-Ii
251,303,North 24 Parganas,2733,Deganga,18,Basirhat,121,Haroa ,107874,Champatala
252,303,North 24 Parganas,2737,Haroa,18,Basirhat,121,Haroa ,107915,Haroa
253,303,North 24 Parganas,2737,Haroa,18,Basirhat,121,Haroa ,107913,Gopalpur-Ii
254,303,North 24 Parganas,2737,Haroa,18,Basirhat,121,Haroa ,107916,Khasbalanda
255,303,North 24 Parganas,2737,Haroa,18,Basirhat,121,Haroa ,107912,Gopalpur-I
256,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,126,Hingalganj ,107927,Patlikhanpur
257,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,126,Hingalganj ,107924,Hasnabad
258,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,126,Hingalganj ,107920,Barunhat Rameswarpur
259,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,126,Hingalganj ,107922,Bhabanipur-Ii
260,303,North 24 Parganas,2738,Hasnabad,18,Basirhat,126,Hingalganj ,107921,Bhabanipur-I
261,303,North 24 Parganas,2743,Sandeshkhali-Ii,18,Basirhat,126,Hingalganj ,107963,Khulna
262,303,North 24 Parganas,2737,Haroa,18,Basirhat,122,Minakhan ,107911,Bakjuri
263,303,North 24 Parganas,2737,Haroa,18,Basirhat,122,Minakhan ,107914,Halipur
264,303,North 24 Parganas,2737,Haroa,18,Basirhat,122,Minakhan ,107918,Sonapukur Sankarpur
265,303,North 24 Parganas,2737,Haroa,18,Basirhat,122,Minakhan ,107917,Kulti
266,303,North 24 Parganas,2742,Sandeshkhali-I,18,Basirhat,123,Sandeshkhali ,107957,Sarberia Agarhati
267,303,North 24 Parganas,2742,Sandeshkhali-I,18,Basirhat,123,Sandeshkhali ,107958,Sehera Radhnagar
